mid,tid,nama_merchant,peruntukkan,jenis,kanwil_no_rek,uker_no_rek,no_rek,cur_balance,kanwil_pemrakarsa,kanwil_nama_pemrakarsa,uker_pemrakarsa,uker_nama_pemrakarsa,user_pemrakarsa,kanwil_implementor,kanwil_nama_implementor,uker_implementor,uker_nama_implementor,group_code,group_name,sub_group_code,sub_group_name,last_available,status_available,last_utility,status_utility,last_transactional,status_transactional,is_mms,is_md_mms,longitude,latitude,sn_edc,merk_edc,versi_app,versi_app_mapped,status_reliability_pemrakarsa,status_reliability_implementor,alamat_merchant,kelurahan,kecamatan,kabupaten,provinsi,kodepos,pic,telp,tgl_pasang,last_pm_date,amt
001007530001,10016875,"PT.GLOBAL BANGUNAN",MERCHANT,"FMS RITEL",X,170,01700100XXXXXX,344407200.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00189989|RISSA NITALEA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 16:53:48",2,"2025-10-01 16:23:57",2,"2025-10-01 16:23:57",2,1,1,,,000000021940992,Ingenico,00v2014.1.5.0.2,2014.1.5.0,2,2,"JL. HR.SOEBRANTAS","TAMPAN DS",TAMPAN,"PEKANBARU KOT.",RIAU,28292,"DEVI KRISTON",0761572367/076XXXXXX,2014-08-08,"2025-09-12 14:52:26",6
001007530001,10016876,"PT.GLOBAL BANGUNAN",MERCHANT,"FMS RITEL",X,170,01700100XXXXXX,344407200.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00189989|RISSA NITALEA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-30 21:02:20",2,"2025-09-30 20:51:06",2,"2025-09-30 20:51:06",2,1,1,,,000000021939771,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,"JL. HR.SOEBRANTAS","TAMPAN DS",TAMPAN,"PEKANBARU KOT.",RIAU,28292,"DEVI KRISTON",0761572367/076XXXXXX,2014-08-08,"2025-09-12 14:44:41",6
001007760000,10006752,"NEW EDY COM",MERCHANT,RITEL,X,2087,20870100XXXXXX,847595181.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00189155|DEDDY CHANDRA DINATA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-25 12:47:43",2,"2025-09-25 12:47:43",2,"2025-09-25 12:47:43",2,1,1,,,000000021330751,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,"JL.HR.SOEBRANTAS TUAH KARYA TA","SIMPANG BARU KEL",TAMPAN,"PEKANBARU KOT.",RIAU,28293,"RITA CHENDANA",076165283/08239XXXXXX,2014-05-22,"2025-09-05 12:01:49",6
001007820000,10006759,"TOKO MAS ASIA BARU",MERCHANT,RITEL,X,666,06660100XXXXXX,7421811.80,X,"KANWIL PEKANBARU",666,"KC Perawang","00286667|FAJAR EL FAHD",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-01 16:53:58",2,"2025-10-01 15:07:37",2,"2025-10-01 15:07:37",2,1,1,,,000000021329295,Ingenico,00v2014.1.4.0.2,2014.1.4.0,1,1,"PASAR LUBUK DALAM KAB. SIAK","DS/KEL LAINNYA","LUBUK DALAM","SIAK KAB.",RIAU,28654,"HENDRA AL - HADI",08137XXXXXX,2014-05-29,"2025-09-18 11:25:26",6
001016530000,10007809,"JJ SHOP",MERCHANT,RITEL,X,2280,22800100XXXXXX,46056954.00,X,"KANWIL PEKANBARU",331,"KC Batam Nagoya","00227800|YONA WULANDARI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 16:11:10",2,"2025-09-30 16:54:03",2,"2025-09-30 16:54:03",2,1,1,,,000000021329189,Ingenico,00v2014.1.5.0.2,2014.1.5.0,3,3,"RUKO BOTANIA GARDEN BLOK B8 NO","BALOI PERMAI KEL.",NONGSA,"BATAM KOT.","KEPULAUAN RIAU",29463,JHONNY,0778743160/08199XXXXXX,2014-05-23,"2025-09-01 16:30:35",6
001017970000,10007964,"TOKO MAS EROPA",MERCHANT,RITEL,X,1770,17700100XXXXXX,28599428.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00288795|LADY FEBRIANTY R",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 13:51:11",2,"2025-10-01 13:50:22",2,"2025-10-01 13:50:22",2,1,1,,,000000021329835,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,"PASAR SENAPELAN GEDUNG A BLOK ",SENAPELAN,"PADANG BULAN","PEKANBARU KOT.",RIAU,28000,"HERMAN TAHIR",08127606545/0812XXXXXX,2014-05-14,"2025-09-12 17:04:23",6
001017980000,10007965,"TOKO MAS RAUDAH",MERCHANT,RITEL,X,1770,17700100XXXXXX,28599428.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00339965|JONI PRANATA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-29 14:10:19",2,"2025-09-29 14:09:40",2,"2025-09-29 14:09:40",2,1,1,,,000000021330490,Ingenico,00v2014.1.5.0.2,2014.1.5.0,2,2,"PASAR SENAPELAN GEDUNG A BLOK ",SENAPELAN,"PADANG BULAN","PEKANBARU KOT.",RIAU,28000,"HERMAN TAHIR",08127606545/0812XXXXXX,2014-05-14,"2025-09-12 16:19:51",6
001017990000,10007966,"SUMBER REZEKI TEXTIL",MERCHANT,RITEL,X,170,01700105XXXXXX,990872592.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00339965|JONI PRANATA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-29 09:15:30",2,"2025-09-29 09:14:56",2,"2025-09-29 09:14:56",2,1,1,,,000000021329331,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,JL.WONOSARI,"SIMPANG TIGA KEL","BUKIT RAYA","PEKANBARU KOT.",RIAU,28284,"IYEF T SELAEMAN",08217123991/0821XXXXXX,2014-06-17,"2025-09-24 14:22:00",6
001018020000,10007969,"TOKO MAS LONDON 99",MERCHANT,RITEL,X,1344,13440100XXXXXX,4987819.00,X,"KANWIL PEKANBARU",331,"KC Batam Nagoya","00277518|DEAN WULAN PERMATASARI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 19:20:31",2,"2025-10-01 11:26:47",2,"2025-10-01 11:26:47",2,1,1,,,000000021329666,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,"KOMP.LUCKY PLAZA LT.DASAR BLOK","LUBUK BAJA KOTA KEL.","LUBUK BAJA","BATAM KOT.","KEPULAUAN RIAU",29444,"THEN MEDI",0778421581/081XXXXXX,2014-06-26,"2025-09-21 13:43:01",6
001018040000,10007971,"TOKO AHENG ALBERTI",MERCHANT,"FMS RITEL",X,1344,13440100XXXXXX,21193275.00,X,"KANWIL PEKANBARU",331,"KC Batam Nagoya","00259095|ZHOLANDA HADIANA PISCHA",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-02 03:31:15",1,"2025-09-24 10:26:22",3,"2025-09-24 10:26:22",3,1,1,,,000000021330189,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,"TOP 100 JODOH LT DASAR BLOK A","SUNGAI JODOH KEL.","BATU AMPAR","BATAM KOT.","KEPULAUAN RIAU",29453,YANTO,08126172449/0812XXXXXX,2014-05-26,"2025-09-08 11:54:14",6
001019890000,10008217,"D'BABY CORNER",MERCHANT,RITEL,X,170,01700106XXXXXX,14649722.80,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00189155|DEDDY CHANDRA DINATA",X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman",X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","2025-10-01 18:29:55",2,"2025-10-01 11:32:58",2,"2025-10-01 11:32:58",2,1,1,,,000000021330371,Ingenico,00v2014.1.5.0.2,2014.1.5.0,2,2,"JL. KAKAP NO. 23","TANGKERANG SELATAN","BUKIT RAYA","PEKANBARU KOT.",RIAU,28000,"YULI ELA KEMARA",08131XXXXXX,2014-05-23,"2022-07-19 11:41:35",6
001022880000,10008552,"STAR JAYA CAR AUDIO",MERCHANT,RITEL,X,170,01700100XXXXXX,25231781.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00339964|DINA DAMAYANTI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 10:57:35",2,"2025-10-01 10:57:35",2,"2025-08-10 16:47:26",5,1,1,,,000000021330430,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,"JL. H. IMAM MUNANDAR NO. 317","TANGKERANG TIMUR KEL","BUKIT RAYA","PEKANBARU KOT.",RIAU,28289,"LEO CHANDRA",08535XXXXXX,2014-05-23,"2025-10-01 10:57:35",6
001030610000,10011417,"MUSTAFA PLAZA",MERCHANT,"FMS RITEL",X,331,03310100XXXXXX,78024825.00,X,"KANWIL PEKANBARU",331,"KC Batam Nagoya","00161796|PHOENNA ATY ANNUR",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 21:07:34",2,"2025-10-01 21:07:34",2,"2025-10-01 18:31:20",2,1,1,,,000000021842742,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,"JL KAMPUS ABULYATAMA, KOMP.BAT","BELIAN KEL.",NONGSA,"BATAM KOT.","KEPULAUAN RIAU",29464,"LEK HAW AL SUSI MIYATI",08127XXXXXX,2014-07-03,"2025-09-21 16:08:10",6
001034260000,10010045,"HOTEL ASTON",MERCHANT,RITEL,X,618,06180100XXXXXX,105863100.00,X,"KANWIL PEKANBARU",618,"KC Tanjung Balai Karimun","00283711|PONCO RINALDO",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-01 14:09:20",2,"2025-09-15 18:24:03",4,"2025-09-15 18:24:03",4,1,1,,,000000021843765,Ingenico,00v2014.1.0.1.2,2014.1.0.1,2,2,"JL.PERTAMBANGAN KOMP.PADI MAS","TANJUNG BALAI KEL.",KARIMUN,"KARIMUN KAB.","KEPULAUAN RIAU",29611,"HOTEL ASTON",077XXXXXX,2014-06-28,"2025-09-10 13:12:56",6
001034410001,10031786,"BITPLUS IT SUPERSTORE",MERCHANT,RITEL,X,2087,20870100XXXXXX,39957850.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00189989|RISSA NITALEA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-30 15:42:26",2,"2025-09-30 15:41:10",2,"2025-09-30 15:41:10",2,1,1,,,000000021986492,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,"JL.NANGKA KOMP.TAMAN ANGGREK","TANGKERANG BARAT KEL"," BUK","PEKANBARU KOT.",RIAU,28282,SUSANTO,076138196/081XXXXXX,2015-10-22,"2025-09-03 15:24:52",6
001045090000,10011466,"UD CENTRAL MANDIRI",MERCHANT,"FMS RITEL",X,1344,13440100XXXXXX,5008790.80,X,"KANWIL PEKANBARU",331,"KC Batam Nagoya","00259095|ZHOLANDA HADIANA PISCHA",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-02 03:31:26",1,"2025-10-01 19:50:50",2,"2025-10-01 19:50:50",2,1,1,,,000000021844320,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,"KAMPUNG LEMBANG JAYA NO.140 A","BELIAN KEL.",NONGSA,"BATAM KOT.","KEPULAUAN RIAU",29464,"MARCEL ANDORRA",07787051113/0778XXXXXX,2014-08-09,"2025-09-12 17:47:04",6
001045170000,10011474,"TOKO MAS LENGGO GENI",MERCHANT,RITEL,X,618,06180100XXXXXX,169696910.00,X,"KANWIL PEKANBARU",618,"KC Tanjung Balai Karimun","00283711|PONCO RINALDO",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-02 03:31:14",1,"2025-09-29 15:07:49",2,"2025-09-29 15:07:49",2,1,1,,,000000021857107,Ingenico,00v2014.1.0.1.2,2014.1.0.1,1,1,"JL.NUSANTARA KARIMUN","TANJUNG BALAI KEL.",KARIMUN,"KARIMUN KAB.","KEPULAUAN RIAU",29611,"TOKO MAS LENGGO GENI",08136XXXXXX,2014-06-28,"2025-09-18 09:36:01",6
001053160000,10012440,"SMART FAST EDUCATION",MERCHANT,RITEL,X,2087,20870100XXXXXX,912786250.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00339965|JONI PRANATA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-29 11:46:00",2,"2025-09-25 11:16:11",2,"2025-09-11 15:45:15",4,1,1,,,000000021842578,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,JL.HR.SOEBRANTAS,"SIDOMULYO KEL",TAMPAN,"PEKANBARU KOT.",RIAU,28294,"AMIRUDDIN TUMANGGOR",08227XXXXXX,2014-07-08,"2025-09-25 11:16:11",6
001053270000,10012453,"MOTOR ANDA",MERCHANT,RITEL,X,170,01700107XXXXXX,4283160.80,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00286466|LIA HANDAYANI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-30 15:41:48",2,"2025-09-21 12:15:57",3,"2025-09-21 12:15:57",3,1,1,,,000000021856244,Ingenico,00v2014.1.5.0.2,2014.1.5.0,2,2,"JALAN HR. SUBRANTAS","KAMPUNG TENGAH KEL",SUKAJADI,"PEKANBARU KOT.",RIAU,28128,"WIDI HARTONO",08238XXXXXX,2014-07-02,"2025-09-03 16:11:55",6
001058680000,10014652,"ZENITH COLLECTION",MERCHANT,"FMS RITEL",X,1344,13440100XXXXXX,29861943.40,X,"KANWIL PEKANBARU",331,"KC Batam Nagoya","00259095|ZHOLANDA HADIANA PISCHA",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-02 03:15:15",1,"2025-09-23 13:14:08",3,"2025-09-23 13:14:08",3,1,1,,,000000021850432,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,"NAGOYA HILL MALL LT GROUND FLO","LUBUK BAJA KOTA KEL.","LUBUK BAJA","BATAM KOT.","KEPULAUAN RIAU",29444,BUDIMAN,08127033340/0812XXXXXX,2014-08-12,"2025-09-15 14:39:22",6
001058800000,10014665,"TOKO BESI ARENGKA STEEL",MERCHANT,RITEL,X,1079,10790100XXXXXX,1893862.00,X,"KANWIL PEKANBARU",1079,"KC Pekanbaru Lancang Kuning",00292451|ELROZA,X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 17:16:33",2,"2025-10-01 14:24:26",2,"2025-10-01 14:24:26",2,1,1,,,000000021843515,Ingenico,00v2014.1.5.0.2,2014.1.5.0,2,2,"JL.SOEKARNO HATTA NO.29 A-B",DELIMA,TAMPAN,"PEKANBARU KOT.",RIAU,28194,SURYATY,07614818795/08122XXXXXX,2014-07-08,"2025-09-24 16:47:58",6
001066630000,10015651,"TOKO MAS MUSTIKA",MERCHANT,RITEL,X,3357,33570103XXXXXX,11880393.00,X,"KANWIL PEKANBARU",696,"KC Pekanbaru Tuanku Tambusai","00142880|KELLY GUSMELIA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 12:54:00",2,"2025-09-24 15:47:53",3,"2025-09-12 18:46:18",4,1,1,,,000000021941078,Ingenico,00v2014.1.5.0.2,2014.1.5.0,2,2,"JALAN SOEKARNO HATTA BLOK 3 PA","DIRGANTARA KEL","BUKIT RAYA","PEKANBARU KOT.",RIAU,28283,KAMINAR,0761XXXXXX,2014-07-18,"2025-09-24 15:47:00",6
001066720000,10015660,"TOKO MYRA ESSENTIALS",MERCHANT,RITEL,X,1344,13440100XXXXXX,66995691.00,X,"KANWIL PEKANBARU",331,"KC Batam Nagoya","00285695|KAMIJUMAHIR DESI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-02 03:31:26",1,"2025-09-20 17:53:03",3,"2025-09-20 17:53:03",3,1,1,,,000000021850178,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,"KOMP. BUMI INDAH BLOK E NO.01","LUBUK BAJA KOTA KEL."," LUBUK BAJA","BATAM KOT.","KEPULAUAN RIAU",29444,RONI,077XXXXXX,2015-10-22,"2025-09-12 11:00:07",6
